domain,direction,source_text,target_text,quality_flags,len_ratio,flag_duplicate,english_score_src,english_score_tgt,fijian_score_src,fijian_score_tgt
bible,en->fj,in the beginning god created the heaven and the earth.,"na kalou, e nai tekitekivu ni ka kecega, sa vakavuna na veilomalagi kei na vuravura.",,1.5555555555555556,False,0.5,0.0,0.0,0.4666666666666667
bible,en->fj,"and the earth was without form, and void; and darkness was upon the face of the deep. and the spirit of god moved upon the face of the waters.","na vuravura sa sega ni vakavotukana tu, qai lala talega; na kena butobuto sa titobu sara. na yalo ni kalou sa vakaraica sobu tu mai na dela ni wai.",,1.0352112676056338,False,0.5517241379310345,0.0,0.0,0.27586206896551724
bible,en->fj,"and god said, let there be light: and there was light.","na kalou sa tukuna, ""me sa rarama mai, "" sa qai dua sara na rarama.",,1.2407407407407407,False,0.36363636363636365,0.0,0.0,0.21428571428571427
bible,en->fj,"and god saw the light, that it was good: and god divided the light from the darkness.","na kalou sa raica na rarama, ka sa vinaka. na kalou sa wasea na rarama mai na butobuto.",,1.0235294117647058,False,0.5294117647058824,0.0,0.0,0.3888888888888889
bible,en->fj,"and god called the light day, and the darkness he called night. and the evening and the morning were the first day.","na kalou sa tukuna, na rarama me siga, kei na butobuto me bogi. na karobo ni yakavi ki na kida ni mataka, sai matai ni siga.",,1.0782608695652174,False,0.5,0.0,0.0,0.4230769230769231
bible,en->fj,"and god said, let there be a firmament in the midst of the waters, and let it divide the waters from the waters.","na kalou sa tukuna, ""me dua mada na kabukabu, me wasea na veiwai mai na veiwai. """,,1.382716049382716,False,0.5217391304347826,0.0,0.0,0.375
bible,en->fj,"and god made the firmament, and divided the waters which were under the firmament from the waters which were above the firmament: and it was so.","na kalou sa qai cakava na kabukabu, ka sa wasea na wai sa tiko ena ruku ni kabukabu kei na wai ena dela ni kabukabu, sa yaco me vakakina.",,1.051094890510949,False,0.5384615384615384,0.0,0.0,0.3448275862068966
bible,en->fj,and god called the firmament heaven. and the evening and the morning were the second day.,"na kalou sa vakayacana na kabukabu ni maliwa lala, na lomalagi, sa karobo na yakavi ka sa mataka tale, sai karua ni siga.",,1.3595505617977528,False,0.5,0.0,0.0,0.30434782608695654
bible,en->fj,"and god said, let the waters under the heaven be gathered together unto one place, and let the dry land appear: and it was so.","na kalou sa tukuna, ""na wai kece ena ruku i lomalagi, me vakasoqoni kece ena dua na vanua, ka me basika mai na vanua mamaca; "" sa yaco me vakakina.",,1.1666666666666667,False,0.4,0.034482758620689655,0.0,0.27586206896551724
bible,en->fj,and god called the dry land earth; and the gathering together of the waters called he seas: and god saw that it was good.,"na kalou sa vakayacana na vanua mamaca me vuravura, kei na wai sa vakasoqoni vata tu, me, wasawasa. na kalou sa raica oqo ni sa vinaka.",,1.115702479338843,False,0.4583333333333333,0.0,0.0,0.34615384615384615
